no. charges,min energy,energy_obtained,energy_difference
2,0.05,0.050000718183408524,7.181834085212557e-07
3,0.173205080756888,0.17321517793236205,1.0097175474038655e-05
4,0.38284271247461893,0.38289383489992657,5.1122425307637e-05
5,0.688190960235586,0.6882917961992919,0.00010083596370591419
6,1.09641016151377,1.193231377111004,0.09682121559723389
